topic_id,llm_label,keywords,size,representative_titles
0,Travel insurance trip coverage,"insurance, claim, trip, cover, travel, policy, coverage, covered, search, travel insurance",64,Trips covered by travel insurance | Cover for delayed trips | Cover for cancelled and interrupted trips
1,Card payment troubleshooting,"card, pay, payment, payments, revolut, tap, cards, apple, transaction, money",85,Why aren’t my contactless payments working? | Card security settings | My physical card isn't working
2,Trading order types,"order, price, orders, stock, trading, market, stop, buy, sell, limit",55,Can I set target prices for exchanging cryptocurrency? | What is a stop order? | Trading order types
3,Identity and account verification,"documents, document, identity, account, email, revolut, passcode, verification, selfie, verify",46,How do I provide proof of address? | Verify my identity | Difficulty logging in
4,Joint account closure,"account, joint, joint account, close, accounts, revolut, moved, revolut bank, closure, pro",39,Setting up a Joint account | I want to close my Joint account | What will happen to my Joint account?
5,Reporting phone and payment scams,"block, scammers, report, phone, card, freeze, fraud, use, scam, payment",29,Feeling pressured or threatened? | Received an unexpected link? | Urgent text from a kid or friend?
6,Currency exchange and withdrawal fees,"fees, fee, limits, trading, withdrawal, charged, exchange, allowance, plan, limit",36,Currency exchange fees and limits | Fees for cash withdrawals | Cash withdrawal limits and fees
7,Referral purchase step requirements,"purchases, reward, referrals, invitee, campaign, card, physical card, step, make, physical",22,"What are the requirements for 3 purchases? | My friend made 3 purchases, but I didn’t get the reward | Is a physical card required for your friend's purchases?"
8,Supported currencies and cards,"supported, currencies, countries, currently, card, ukraine, republic, cards, unsupported, visa",25,Supported currencies for outgoing transfers | What currencies are supported for spending? | Cards and currencies supported for adding money
9,Crypto deposit troubleshooting,"crypto, address, network, deposit, wallet, transaction, blockchain, networks, addresses, send",21,Pending crypto deposits | Can't see my deposit in-app | Receive (deposit) crypto from an external address
10,Managing Kids and Teens accounts,"kids, teens, kids teens, teens account, kid, revolut kids, account, child, app, tap",18,Graduation to the main app | Add money to or withdraw from Revolut Kids & Teens account | Revolut - Kids & Teens statements
11,Transfer status and delays,"transfer, transfers, days, bank, dispute, recipient, reverted, business days, business, funds",26,Why was the transfer to my account reverted? | Why is my incoming transfer pending? | Locate a bank transfer sent from Revolut
12,RevPoints loyalty program,"revpoints, points, pass, lounge, booking, airline, revpoints menu, airport, miles, gift",27,How to earn RevPoints | What is the RevPoints loyalty program? | Redeem RevPoints
13,Accessing Revolut plan benefits,"subscription, benefit, access, ultra, ultra customers, metal, benefits, metal ultra, customers, plan",19,Freeletics | Chess.com | Headspace
14,Crypto ETNs and ETPs,"investment, asset, etps, assets, underlying, invest, crypto, risk, investments, investor",20,What is a crypto ETN? | Get started with crypto ETNs | What is an Exchange-Traded Product (ETP)?
15,Downgrading paid plans,"plan, paid plan, paid, gift, downgrade, billing, friend, annual, gifts, premium",23,Downgrading your paid plan | Changing your paid plan billing date | Paid plan downgrade fees 
16,Revolut crypto trading and setup,"crypto, revolut, ramp, revolut ramp, cryptocurrency, cryptocurrencies, staking, tokens, app, fiat",25,Buy and sell crypto | Crypto account onboarding requirements | Revolut crypto features and products
17,Managing scheduled transfers,"transfer, category, scheduled, direct, tap, scheduled transfer, direct debit, cancel, recipient, debit",23,More help with a scheduled transfer | Manage scheduled transfers | I want to cancel a bank transfer
18,Reporting vulnerable circumstances,"support, gambling, advice, circumstances, chat, complaint, vulnerable, help, form, financial",17,Reporting vulnerable circumstances to Revolut | How can I share sensitive information with Revolut? | Reporting vulnerable circumstances to Revolut
19,FSCS protection for Revolut accounts,"savings, fscs, bank, protected, access savings, instant access, account, revolut, rate, instant",24,"How are the funds in my Savings accounts protected? | Are funds in my  independent teen account FSCS protected? | Now that Revolut is a bank, how is my money protected?"
20,Tax and national identification,"tax, national, isa, stocks shares, shares, shares isa, identification, stocks, number, information",16,Update my tax information | Investor related tax information | Why does Revolut need my national identifier?
21,External bank account transfers,"bank, transfer, bank transfer, transfers, external, money, account, external bank, fees, salary",23,How do I link an external account to Revolut? | Add money with a bank transfer | Add money with an easy bank transfer
22,Ordering new cards,"card, cards, delivery, physical, order, physical card, card order, design, virtual, new",19,What are the fees for ordering a card? | Order a Joint account card | Order a physical card
23,eSIM data plan management,"esim, data, number, plan, mobile, transfer, device, mobile plan, plans, number transfer",21,Installing and activating my eSIM | Revolut data plans | Managing my eSIM data plan
24,Currency accounts and exchange fees,"currency, exchange, balance, rate, local, currency account, language, local currency, details, fees",17,Open and manage additional currency accounts | Tips for spending in a foreign currency | What currency will I be charged in?
25,Download account statements,"statement, documents, statements, download, documents statements, confirmation, consolidated, account, document, select documents",13,Download an account statement for a specific currency | Download transaction or top-up statement | Download a cryptocurrency statement
26,Managing Revolut Pockets,"pocket, spare, spare change, group, change, pockets, recurring, donations, choose, tap",16,What are Pro Pockets? | Adding money to Pockets | How do I manage a Group Pocket?
27,Account security and fraud protection,"security, device, mode, location, official, wealth protection, protection, wealth, trusted, access",17,How does Revolut protect me against fraud? | Getting started with Street Mode | What are Revolut's safety features?
