min_topic_size,topic_id,llm_label,keywords,size,representative_titles
3,0,Trading order types,"order, price, orders, stop, trading, market, buy, sell, limit, hours",40,Crypto stop order | Can I set target prices for exchanging cryptocurrency? | Trading order types
3,1,Revolut travel insurance coverage,"travel, insurance, travel insurance, chubb, trip, cover, claim, covered, revolut travel, coverage",24,Who is covered by travel insurance? | Cover for delayed trips | Trips covered by travel insurance
3,2,Referral purchase requirements,"purchases, reward, referrals, campaign, invitee, step, deadline, make, referral, friend",20,"What are the requirements for 3 purchases? | My friend made 3 purchases, but I didn’t get the reward | Is a physical card required for your friend's purchases?"
3,3,Crypto account setup and security,"crypto, tokens, staking, cryptocurrencies, ramp, cryptocurrency, fiat, revolut, token, web terminal",23,Crypto account onboarding requirements | Is my crypto safe with Revolut? | Revolut crypto features and products
3,4,Supported currencies and cards,"supported, currencies, countries, republic, currently, unsupported, cards, malta, lithuania, following",20,Supported currencies for outgoing transfers | Cards and currencies supported for adding money | What currencies are supported for spending?
3,5,Lost phone number login,"passcode, device, log, phone, phone number, email, lost, id, number, revolut",25,Difficulty logging in | Change my phone number | Log in with a new phone number
3,6,Accessing plan partner subscriptions,"subscription, benefit, ultra customers, access, ultra, metal, metal ultra, benefits, plan scroll, select plan",19,Chess.com | Freeletics | Headspace
3,7,Adding money via bank transfer,"bank, transfer, bank transfer, transfers, money, external, account, easy bank, salary, easy",22,How to transfer funds to Revolut | Add money with a bank transfer | Add money with an easy bank transfer
3,8,Crypto deposit troubleshooting,"crypto, network, address, deposit, blockchain, networks, transaction, wallet, addresses, deposits",18,Pending crypto deposits | Can't see my deposit in-app | Receive (deposit) crypto from an external address
3,9,RevPoints earning and redemption,"revpoints, points, airline, booking, redeem, miles, revolut pay, gift, revpoints menu, gift cards",19,How to earn RevPoints | What is the RevPoints loyalty program? | Redeem RevPoints
3,10,Kids and teens account management,"kids, teens, kids teens, teens account, kid, revolut kids, child, teens card, select kids, account",16,Revolut – Kids & Teens card management | Revolut - Kids & Teens statements | Add money to or withdraw from Revolut Kids & Teens account
3,11,Exchange Traded Products,"etps, investment, underlying, invest, exchangetraded, highrisk, investments, investor, asset, assets",16,What is a crypto ETN? | Get started with crypto ETNs | What is an Exchange-Traded Product (ETP)?
3,12,Accepting payments with Revolut,"reader, payment, iphone, payments, tap pay, pay, pay iphone, accept, payment link, revolut reader",20,Can I accept payments with Revolut Pro? | Requesting money with a payment link | Sending and requesting money with a payment link
3,13,Ordering a physical card,"delivery, card, physical, physical card, order, cards, card order, design, ordering, order card",17,Order a Joint account card | How can my friend order a physical card? | Order a physical card
3,14,Cancel for any reason protection,"event, trip, reason, cancellation, trip event, claim, cancel reason, cancel, ultra, cancellation protection",14,How do I make a cancel for any reason protection claim? | Getting started with cancel for any reason protection | What is a trip?
3,15,Purchase insurance coverage,"qover, purchase, insurance, purchase insurance, claim, items, protection, search, insurance select, item",13,Refund protection coverage | What's the excess for purchase insurance claims? | Purchase protection coverage
3,16,Download account statements,"statement, statements, documents, download, documents statements, confirmation, document, consolidated, select documents, generated",14,Download an account statement for a specific currency | Download transaction or top-up statement | Download a cryptocurrency statement
3,17,Tax and national identification,"tax, national, identification, national id, identification number, id, country, number, provide, information",13,Investor related tax information | Update my tax information | Why does Revolut need my national identifier?
