title,topic_id,llm_label,probability
How can I see my cashflow analytics?,1,Card payment troubleshooting,0.0
How can I see my spending and income analytics?,17,Managing scheduled transfers,0.0
How can I see my total wealth analytics?,14,Crypto ETNs and ETPs,0.0
How do I add a custom asset to my total wealth view?,14,Crypto ETNs and ETPs,0.0
How to assign and adjust categories,17,Managing scheduled transfers,0.6589
Create and manage custom categories for transactions,17,Managing scheduled transfers,0.0
How does sorting to investments work?,6,Currency exchange and withdrawal fees,0.0
How are trips defined for travel analytics?,0,Travel insurance trip coverage,1.0
How can I see my travel analytics?,0,Travel insurance trip coverage,0.0
How does travel mode work?,27,Account security and fraud protection,0.0
Using the Income Sorter feature,26,Managing Revolut Pockets,0.0
What is the analytics dashboard?,1,Card payment troubleshooting,0.0
Why wasn’t my income sorted?,21,External bank account transfers,0.0
How does Bulgaria adopting the Euro affect me?,24,Currency accounts and exchange fees,0.0
What is Open Banking and how does it work?,23,eSIM data plan management,0.0
How will the account transition affect returns/chargebacks?,4,Joint account closure,1.0
Are funds in my  independent teen account FSCS protected?,19,FSCS protection for Revolut accounts,1.0
Can I keep my e-money account?,4,Joint account closure,1.0
Does the account transfer impact my plan insurance cover?,0,Travel insurance trip coverage,1.0
How will I know when my account has been moved?,4,Joint account closure,1.0
Is my account eligible to be moved to Revolut Bank?,4,Joint account closure,1.0
Is the money in my Savings account protected by the FSCS?,19,FSCS protection for Revolut accounts,1.0
"Now that Revolut is a bank, how is my money protected?",19,FSCS protection for Revolut accounts,1.0
What do I need to do to move my account to a bank account?,4,Joint account closure,1.0
What happens to my data while my account is being moved?,4,Joint account closure,1.0
What will happen to my account when it’s moved?,19,FSCS protection for Revolut accounts,1.0
What will happen to my Joint account?,4,Joint account closure,1.0
Who regulates Revolut Bank and where can I complain?,19,FSCS protection for Revolut accounts,0.0
Why is Revolut becoming a bank in the UK?,19,FSCS protection for Revolut accounts,0.7699
Will my account be at risk while it's being moved over?,4,Joint account closure,1.0
Will my account details change after my account is moved?,4,Joint account closure,1.0
Will my fees and charges change now that Revolut is a bank?,4,Joint account closure,1.0
