title,topic_id
How can I see my cashflow analytics?,-1
How can I see my spending and income analytics?,-1
How can I see my total wealth analytics?,-1
How do I add a custom asset to my total wealth view?,-1
How to assign and adjust categories,17
Create and manage custom categories for transactions,-1
How does sorting to investments work?,-1
How are trips defined for travel analytics?,0
How can I see my travel analytics?,-1
How does travel mode work?,-1
Using the Income Sorter feature,-1
What is the analytics dashboard?,-1
Why wasn’t my income sorted?,-1
How does Bulgaria adopting the Euro affect me?,-1
What is Open Banking and how does it work?,-1
How will the account transition affect returns/chargebacks?,4
Are funds in my  independent teen account FSCS protected?,19
Can I keep my e-money account?,4
Does the account transfer impact my plan insurance cover?,0
How will I know when my account has been moved?,4
Is my account eligible to be moved to Revolut Bank?,4
Is the money in my Savings account protected by the FSCS?,19
"Now that Revolut is a bank, how is my money protected?",19
What do I need to do to move my account to a bank account?,4
What happens to my data while my account is being moved?,4
What will happen to my account when it’s moved?,19
What will happen to my Joint account?,4
Who regulates Revolut Bank and where can I complain?,-1
Why is Revolut becoming a bank in the UK?,19
Will my account be at risk while it's being moved over?,4
Will my account details change after my account is moved?,4
Will my fees and charges change now that Revolut is a bank?,4
Will Revolut Bank have physical branches?,-1
Will the account transition have any tax implications?,4
Will this affect my other Revolut products?,4
Why didn't I get a bank account when I signed up?,19
Will my hardware be affected by the account transition?,4
Will the transition affect my Pro products and services?,4
Why is my balance now negative?,1
Add money in one tap,-1
Add money with a bank transfer,21
Add money with an easy bank transfer,21
Get paid early with Early Salary,21
Card deposit limits and fees,-1
How to make cash deposits,-1
Disruptions to adding money with Visa cards,1
Receiving money to my Revolut card,-1
How to add money with a card,-1
Add money with Apple Pay or Google Pay,-1
Auto top-ups,-1
Manage my deposit cards,-1
My card deposit didn't work,-1
Restricted card deposits,-1
Ukraine card top-up limits,8
Why was my top-up reverted?,1
Cards and currencies supported for adding money,8
Why your card top-ups may be blocked,1
Requesting money with a payment link,1
How to split a bill with another Revolut customer,-1
Am I covered by Ultra trip cancellation protection if I need to cancel a flight while abroad?,0
Am I covered for trips or events that I didn't purchase with my Revolut account with Ultra trip and event cancellation protection?,0
Ultra trip & event cancellation with companion coverage,0
How do I get an update on my existing claim?,0
Cancel for any reason complaints,0
How do I make a cancel for any reason protection claim?,0
My supplier won’t let me cancel my trip/event. Am I covered with Ultra trip and event cancellation protection?,0
Does moving home affect Ultra trip and event coverage?,0
Will I get a full refund for my trip or event cancellation?,0
What are the limits of cover and deductibles?,0
Getting started with cancel for any reason protection,0
Documents needed for an Ultra trip and event cancellation protection claim,0
What is a trip?,0
What is an event?,0
Who provides Ultra trip and event cancellation protection?,0
How do I link an external account to Revolut?,21
Manage my external linked accounts in Revolut,-1
Can I accept multiple paid plan gifts?,-1
Gifting a paid plan,-1
How to share your birthday on Revolut,-1
Receiving paid plan gifts,-1
Sending paid plan gifts,-1
What happens once the gifted paid plan duration ends?,-1
Earning interest with Savings,-1
Getting started with Savings,-1
How to calculate interest on Savings accounts,-1
How is interest calculated on tiered Instant Access Savings?,-1
Rate decrease on my Instant Access Savings,-1
Why is my withdrawal pending?,11
Savings Challenge,-1
Instant Access Savings promotion,-1
Tax on Savings,20
How are the funds in my Savings accounts protected?,19
Why was my Savings Accounts restricted or closed?,-1
Add money to your savings account,26
Close my Savings account,4
Withdraw from your Savings account,-1
Documents and statements for my Savings accounts,25
Cover for cancelled and interrupted trips,0
Do I have to pay for my trip using my Revolut account?,0
Claiming after Premium travel insurance removal,0
Does moving home impact my travel insurance?,0
Travel insurance coverage,0
Travel insurance for areas affected by conflict,0
Close a Pocket,26
How do I manage a Group Pocket?,26
Adding money to Pockets,26
Withdrawing from Pockets,26
Spare change round ups,-1
I can't find my Vaults,26
How to link a card to a Pocket and manage it,26
Getting started with Pockets,26
What if I don't have enough money in my bills Pocket?,1
What is Revolut Pay?,-1
How to withdraw cash from an ATM,-1
Fees for cash withdrawals,6
My card payment is pending,1
How to disable RevPoints spare change?,-1
Why did my payment amount change?,1
Fees for card payments in a foreign currency,6
Setting a monthly spending limit,1
How do regulatory limits affect my usage?,-1
Am I eligible for Apple Pay?,8
Am I eligible for Google Pay?,8
Payment limits when using Apple Pay or Google Pay,-1
Decline reasons on Apple Pay and Google Pay,1
Setting up Apple Pay,1
Setting up Google Pay,1
Where can I pay with Apple Pay or Google Pay?,-1
How do I block and unblock a merchant?,5
What currencies are supported for spending?,8
Card payment fees and limits,1
Card verification and pre-authorisation,1
What is Dynamic Currency Conversion (DCC)?,-1
Which merchants are not supported by Revolut?,8
What is a virtual card?,-1
My virtual card is not working,-1
Problems with my card PIN,1
Why was my card payment declined if I have enough funds?,1
What is 3D Secure?,-1
Delayed (offline) card payments,1
Where can I use my Revolut card?,8
Am I eligible for Click to Pay?,8
How do I add cards to Click to Pay?,-1
How can I remove my card from Click to Pay?,-1
What is Click to Pay?,1
Why is my card added to Click to Pay not shown at checkout?,-1
Declined card payment isn't visible,1
My card payment was declined by the security system,1
What is the location-based security feature?,27
My card payment was declined,1
Why has my card payment been reverted?,1
Report a card payment as a scam or fraud,5
Card security settings,1
Freeze a card,5
How to cancel a dispute,17
Dispute a card payment,-1
Dispute process and timelines,11
Update on my chargeback case,11
Problems with a refund,11
Revolut Chrome Extension,1
How to withdraw a foreign currency,-1
Limits for using my card abroad,6
Tips for spending in a foreign currency,24
What currency will I be charged in?,24
Manage subscription payments to merchants,5
Report a fraudulent ATM withdrawal,5
When does my ATM withdrawal limit reset?,6
Why is my ATM withdrawal pending?,11
Why was my ATM withdrawal declined?,1
Activate a physical card,1
Reactivate a card,-1
I can't add my card to Apple Pay,1
My card was stolen. What should I do?,-1
The name on my card is incorrect,3
Why is my Apple Pay card number different from my Revolut's?,1
My card has been swallowed by an ATM,5
Why aren’t my contactless payments working?,1
My single-use virtual card isn't working,-1
My physical card isn't working,1
What should I do if my card is expiring soon?,-1
Can I cancel or edit a card order?,-1
Can I choose between Mastercard and Visa?,22
Maximum active cards,-1
What are the fees for ordering a card?,22
Creating a virtual card,-1
I ordered a card and it didn't arrive,22
Card customisation,22
How does the Clear Sky debit card support Ukraine?,-1
Order a physical card,22
How do I get the Clear Sky debit card?,-1
What is a special edition card?,22
What card brands and types can I get?,8
Finding the card PIN,1
Linking an existing card,1
Can I order my card to a different address?,22
How do I use a Revolut virtual card?,-1
I received a card that I had marked as undelivered,-1
I found my lost card,-1
My card has been used fraudulently,5
Glossary of onboarding terms,14
Manage scheduled transfers,17
More help with a scheduled transfer,17
Schedule a transfer,-1
Cash withdrawal limits and fees,6
Getting started with Pet Insurance,0
How do I make a protection insurance claim?,0
What's the excess for purchase insurance claims?,0
Submitting documents for a purchase insurance claim,0
Is my mobile device covered by Revolut purchase protection?,0
Getting started with purchase insurance,0
What's not covered under purchase insurance?,0
What items are eligible for purchase insurance?,0
Getting an update on an everyday protection claim,0
Who provides Revolut's everyday protection insurance?,0
Purchase protection coverage,0
Refund protection coverage,0
Event ticket cancellation protection coverage,0
Getting started with travel insurance,0
What is the excess for travel insurance claims?,0
Trips covered by travel insurance,0
Why is my travel insurance coverage ending?,0
Submitting documents for a travel insurance claim,0
How can I view my travel insurance policy documents?,0
How do I get an update on my existing claim?,0
How do I make a travel insurance claim?,0
Emergency medical assistance abroad,0
Cover for car hire excess,0
Cover for delayed trips,0
"Cover for damaged, lost, or delayed baggage",0
Cover for medical expenses abroad,0
Cover for sports and activities,0
Who is covered by travel insurance?,0
Who is Revolut's travel insurance provider?,0
How do I cancel my Pet Insurance policy?,0
How to make a Pet Insurance claim,0
Pet Insurance payments and renewals,0
How do I complain about my pet insurance?,0
How can I view or manage my Revolut Pet Insurance policy?,0
Free 24/7 FirstVet Video Consultations,0
Who are Revolut Pet Insurance?,0
What are the main pet insurance policy conditions I should be aware of?,0
Can I cancel an Airport Fast Track pass? ,-1
How do I purchase an Airport Fast Track pass?,12
How do I use my airport fast track pass?,12
Reasons you can trust Revolut,-1
Can I contact Revolut using a Power of Attorney?,-1
Media enquiries,18
Revolut Business,-1
Work at Revolut,-1
Difference between limited and full access to the web app,-1
Does Revolut offer services in Russia?,8
Reporting vulnerable circumstances to Revolut,18
How do I share feedback with Revolut?,18
I lost access to a device my passkey is stored on,3
How can I file a complaint?,18
Learn about my rights when making payments in Europe,8
Public Figure Check - More Information,20
What is my tax residence?,20
What happens if the Revolut account holder passes away?,4
Which Revolut companies provide me with services?,-1
How can I improve my financial health?,18
How can I share sensitive information with Revolut?,18
Support if you are experiencing financial difficulties,18
What gambling support is available?,18
Where can I get help and advice on financial abuse?,18
Where can I get help if I'm worried about my mental health?,18
When will Revolut credit be available in my country?,8
What is Revolut Pro and is it free?,-1
Cancel a transaction on the Revolut Terminal,17
Cards and contactless payments with Revolut Terminals,1
Failed payments on the Revolut Terminal,1
How do I order a Revolut Terminal?,-1
How do I log in to my Revolut Terminal?,-1
eSIM on Revolut Terminals,23
I'm having trouble using my Revolut Terminal,-1
Sales using a Revolut Pro product catalogue,-1
Edit the time on my Revolut Terminal,-1
Warranty on Revolut Terminals,-1
What are Revolut Terminals?,1
When will I receive my Revolut Terminal?,11
Failed payment on Tap to Pay on iPhone,1
Can I accept payments with Revolut Pro?,1
How much does it cost to accept payments with Revolut Pro?,1
What are Payment Links and how do I use them?,1
When do payments arrive in my Pro account?,11
Install the Shopify plugin for Revolut Pro,-1
Revolut Pro invoices,-1
Warranty on the Revolut Reader,-1
What is Revolut Reader and how do I use it?,1
Using Tap to Pay on iPhone to take payments,1
Why should I accept payments with Revolut Pro?,1
How do I add funds to my Pro account?,21
How to close a Revolut Pro account,4
Difference between Revolut Pro and Revolut Business,-1
How to set up Direct Debits in Pro,-1
What features are available with Revolut Pro?,-1
How do I move money out of my Revolut Pro account?,21
Order a Revolut Pro card,22
How does Revolut Pro cashback work and how can I boost it?,-1
Pro account under review or payments not working,-1
How can I redeem my Pro Perks offers?,12
What is Pro Perks?,-1
What are Pro Pockets?,26
Why was my document not accepted for Revolut Pro?,3
Why was my URL not accepted for Revolut Pro?,-1
Where can I find my Revolut Pro account in-app?,-1
Who can use Revolut Pro and how do I get started?,-1
Accessing the Retail Web App,3
What features are supported on the Web App?,27
Security and data privacy,-1
How do I close my account?,4
Getting started with AIR,-1
Getting started with Revolut,10
How to contact Revolut Support,18
Joint account card payments,4
Managing joint account ownership,4
I want to close my Joint account,4
Your Joint account statement,4
Adding money to a Joint account,21
Setting up a Joint account,4
Joint account transfers,21
Order a Joint account card,22
Getting started with Joint Savings,-1
What happens if my joint account balance goes negative?,1
Revolut closed my joint account,4
Difficulty logging in,3
Change passcode,3
I lost access to my passkey,3
Duplicate account,4
Log in with a new phone number,3
Lost or stolen device,3
Sign in with face ID or fingerprint,3
What are passkeys?,3
Download your account confirmation,25
Download an account statement for a specific currency,25
How to download a card confirmation document,25
Download a cryptocurrency statement,25
Documents for a closed account ,3
Get a Pockets statement,-1
Download transaction or top-up statement,25
Download statement of fees,25
How to download a subject access request document,-1
How can I download trading statements and reports?,25
Why are my statement balance and in-app balance different?,24
What is the consolidated statement?,25
Cancelling your scheduled plan downgrade,15
Downgrading your paid plan,15
Paid plan downgrade fees ,15
Changing your paid plan billing date,15
Managing your paid plan billing,15
Pay for your missed plan payment,15
Your paid plan subscription end date,15
Next payment date for your paid plan,15
Paid plan payment status,15
Chess.com,13
ClassPass,13
Financial Times,13
Freeletics,13
Headspace,13
Headway,13
MasterClass,13
NordVPN,13
Perplexity,13
Picsart,13
How do I access a partner benefit?,-1
Laundryheap,13
What happens to my partner benefits if I change my plan?,-1
What are partner benefits?,-1
Sleep Cycle,13
The Athletic,13
Tinder,13
Turo rewards,13
Uber One,13
WeWork,13
Discounts for loyal customers,15
Promotional and free trials,15
Order a paid plan card,22
Metal plan,-1
Plus plan,-1
Premium plan,-1
Standard plan,-1
Ultra plan,-1
Can I reopen my closed account?,-1
Switching languages in the app,24
How do I manage notifications from Revolut?,-1
Trouble with mobile verification code,-1
Change my address,4
Change my date of birth,3
Change my name,3
Change my phone number,3
Change or verify email address,3
Change my Revtag,-1
Update my tax information,20
Source of funds,3
Upgrade my plan,15
Accepted proof of address documents,3
Documents for the source of funds verification,3
Verify my identity,3
How do I provide proof of address?,3
I'm unable to verify my identity,3
Where you can sign up for Revolut,-1
What is Revolut ID?,3
Managing a Revolut – Kids & Teens account,10
Revolut – Kids & Teens cards,10
Revolut – Kids & Teens Earn,10
Revolut Kids & Teens Rewards,10
Revolut Kids & Teens Save,10
Revolut – Kids & Teens payments,10
Add money to or withdraw from Revolut Kids & Teens account,10
Forgotten passcode for a Kids & Teens account,3
Graduation to the main app,10
Kids & Teens Instant Access Savings,10
Open a Revolut – Kids & Teens account,10
Revolut — Kids & Teens subscription bundles,10
Request a Revolut – Kids & Teens virtual card,10
Revolut – Kids & Teens card management,10
Revolut Kids & Teens Payment Links,10
Revolut - Kids & Teens Referrals,10
Revolut - Kids & Teens statements,10
What if Revolut - Kids & Teens isn't available?,10
Is my private information safe?,27
When to put gambling controls in place,18
How does the gambling block work?,5
A refund or chargeback was sent to my closed account,11
My account was restricted or closed,-1
Report a fraudulent transfer,5
What does Revolut use my data for?,-1
How long will Revolut hold my data?,-1
Personal data required to create a Revolut account,-1
Hidden balance feature,-1
Why haven't I received my Referrals reward?,7
Referral reward smaller than expected,7
How to complete all steps for Referrals reward,7
How to complete 'Make purchases' step for Referrals reward,7
Why hasn't my referrer received their Referrals reward?,7
How to add money for the Referrals reward,7
Order a physical card for Referrals reward,-1
Referrals reward requirements,7
Conditions for the referral campaign,7
Completing the 'Make purchases' step,7
Claiming special bonus offered by Revolut promotion,7
Missing reward from an influencer or brand signup,7
Promotional cashback,7
Is physical card activation necessary before the deadline?,22
