title,keywords
How can I see my cashflow analytics?,"cashflow widget, track revolut, tap analytics, timeframe view, total net"
How can I see my spending and income analytics?,"revolut app, view spending, income widget, analytics budgeting, insights tap"
How can I see my total wealth analytics?,"revolut custom, overview assets, analytics total, liabilities tap, investment tax"
How do I add a custom asset to my total wealth view?,"asset total, edit custom, tap add, value refresh, analytics app"
How to assign and adjust categories,"transaction category, assigns category, update payments, change manually, analytics screen"
Create and manage custom categories for transactions,"category transactions, custom categories, delete custom, tap manage, confirm create"
How does sorting to investments work?,"investments sort, wealth exchanging, exchange fees, revolut com, faqhttps help"
How are trips defined for travel analytics?,"trips transaction, using revolut, travel analytics, start date, country understanding"
How can I see my travel analytics?,"revolut trips, analytics revolut, visualise countries, spending accessed, analytics dashboard"
How does travel mode work?,"travel mode, revolut app, spend enabled, widget appears, esim"
Using the Income Sorter feature,"income sorter, automatically organises, set payday, isa account, tap disable"
What is the analytics dashboard?,"analytics dashboard, revolut app, track spending, widget income, financial insights"
Why wasn’t my income sorted?,"income sorter, transfers revolut, deposit limits, account exclusions, pockets inactive"
How does Bulgaria adopting the Euro affect me?,"currency bulgarian, adopting euro, bulgaria adopting, discontinuation bgn, 2025 lev"
What is Open Banking and how does it work?,"open banking, revolut access, tpps use, secure methods, customer data"
How will the account transition affect returns/chargebacks?,"chargebacks change, transition revolut, affect returns, process returns, occurred account"
Are funds in my  independent teen account FSCS protected?,"fscs savings, protected funds, revolut com, deposits bank, independent teen"
Can I keep my e-money account?,"moved revolut, close account, account qualifying, uk bank, corner app"
Does the account transfer impact my plan insurance cover?,"insurance change, ultra cover, uk409992764 updated, number metal, plan group"
How will I know when my account has been moved?,"moved revolut, account moving, account bank, notification account, let know"
Is my account eligible to be moved to Revolut Bank?,"moved revolut, migrated account, eligible countries, account customers, guernsey jersey"
Is the money in my Savings account protected by the FSCS?,"fscs savings, protected money, bank revolut, limit applies, service compensation"
"Now that Revolut is a bank, how is my money protected?","protect revolut, account balances, money regulations, fscs information, compensation max"
What do I need to do to move my account to a bank account?,"account bank, uk revolut, closing account, money personal, moved opt"
What happens to my data while my account is being moved?,"moved revolut, bank controller, data account, customer privacy, happens"
What will happen to my account when it’s moved?,"moved revolut, account terms, fscs protection, eligible deposits, uk personal"
What will happen to my Joint account?,"joint account, moved revolut, account closure, migration joint, like personal"
Who regulates Revolut Bank and where can I complain?,"regulate revolut, fca regulate, pra fca, bank complain, authority registration"
Why is Revolut becoming a bank in the UK?,"fscs protection, revolut bank, licence uk, deposits value, services compensation"
Will my account be at risk while it's being moved over?,"account revolut, moving account, fraud risk, risk moving, app notifications"
Will my account details change after my account is moved?,"account moved, details revolut, bank address, bic remain, code iban"
Will my fees and charges change now that Revolut is a bank?,"changes fees, bank fees, revolut bank, account moved, charges remain"
Will Revolut Bank have physical branches?,"revolut app, branches revolut, digital service, physical branches, bank"
Will the account transition have any tax implications?,"moving revolut, tax implications, account transition, customs hmrc, identification number"
Will this affect my other Revolut products?,"affect revolut, products changes, account moved, joint accounts, terms kids"
Why didn't I get a bank account when I signed up?,"account transitioned, ready bank, uk customers, fscs protection, timeline ensures"
Will my hardware be affected by the account transition?,"transition hardware, revolut, devices terms, affected account, terminals pos"
Will the transition affect my Pro products and services?,"revolut pro, current account, account acquiring, products services, transition affect"
Why is my balance now negative?,"negative balance, delayed payment, revolut paid, merchant happens, transactionsrevolut app"
Add money in one tap,"app revolut, adding money, tap transfer, easy bank, faster pre"
Add money with a bank transfer,"transfer revolut, adding money, external account, bank app, instructions add"
Add money with an easy bank transfer,"transfer revolut, adding money, easy bank, topuprevolut app, possible cancel"
Get paid early with Early Salary,"salary early, salaries revolut, app revolut, day payday, timeframes fees"
Card deposit limits and fees,"revolut fees, card deposits, limits fees, switzerland account, reach limit"
How to make cash deposits,"cash deposits, apple pay, option make, uk https, discontinued 13"
Disruptions to adding money with Visa cards,"money revolut, using visa, pay adding, cards changes, card declined"
Receiving money to my Revolut card,"revolut card, card transfer, inbound transfers, paypal paysend, 30 minutes"
How to add money with a card,"adding money, failed card, revolut com, topuprevolut app, apple pay"
Add money with Apple Pay or Google Pay,"add revolut, app topup, card deposits, set currency, apple payhttps"
Auto top-ups,"app revolut, topup method, currency saved, set auto, card expired"
Manage my deposit cards,"revolut app, deposit cards, verifying deposit, add money, delete card"
My card deposit didn't work,"deposits revolut, failed card, apple pay, refund timeframes, contacting external"
Restricted card deposits,"card revolut, new restrictions, deposit methods, movement money, india accounts"
Ukraine card top-up limits,"visa revolut, card limits, limit ukraine, money movement, topping using"
Why was my top-up reverted?,"bank revert, blocked revolut, revolut card, disputed charge, account topped"
Cards and currencies supported for adding money,"currencies supported, card revolut, adding money, brands mastercard, pay jcb"
Why your card top-ups may be blocked,"deposits blocked, revolut customers, previous payment, card apple, decline reasons"
Requesting money with a payment link,"link payment, revolut app, requesting money, revtag request, expires long"
How to split a bill with another Revolut customer,"splitting bills, revolut customer, contacts receive, just tap, adjust individual"
Am I covered by Ultra trip cancellation protection if I need to cancel a flight while abroad?,"cancellation protection, travel insurance, interrupted trips, ultra trip, cover flight"
Am I covered for trips or events that I didn't purchase with my Revolut account with Ultra trip and event cancellation protection?,"purchase revolut, covered trips, ultra plan, event cancellation, unless purchased"
Ultra trip & event cancellation with companion coverage,"cancellation protection, companion expenses, ultra trip, policyholder buy, use tickets"
How do I get an update on my existing claim?,"claim qover, revolut doesn, cover contact, check existing, cancel reason"
Cancel for any reason complaints,"complaint qover, cancel reason, insurance select, email mediation, policy wording"
How do I make a cancel for any reason protection claim?,"claim revolut, insurance trip, reason protection, event cancellation, qover"
My supplier won’t let me cancel my trip/event. Am I covered with Ultra trip and event cancellation protection?,"cancellation protection, insurance trip, ultra trip, booking reason, supplier refused"
Does moving home affect Ultra trip and event coverage?,"insurance trip, address revolut, change country, primary residence, does moving"
Will I get a full refund for my trip or event cancellation?,"revolut cancel, 100 reimbursement, prior trip, contact qover, specifically covered"
What are the limits of cover and deductibles?,"limits deductibles, revolut qover, cancellation reason, costs trips, regarding cover"
Getting started with cancel for any reason protection,"cancellation protection, revolut ultra, reason insurance, qover com, trip costs"
Documents needed for an Ultra trip and event cancellation protection claim,"claim ultra, supporting documents, event cancellation, trip specific, details accident"
What is a trip?,"insurance trip, reason cancellations, context ultra, location 100km, revolut stays"
What is an event?,"event cancellation, insurance trip, ultra plan, revolut app, protection refers"
Who provides Ultra trip and event cancellation protection?,"insurance ultra, trip cancellation, qover, wakam responsible, customers"
How do I link an external account to Revolut?,"revolut account, external banking, transfer timeframes, tap add, problems linking"
Manage my external linked accounts in Revolut,"revolut unlink, accounts revolut, external account, revoke analytics, analytics budgeting"
Can I accept multiple paid plan gifts?,"gifts revolut, expire redeem, multiple paid, year accepted, plan duration"
Gifting a paid plan,"revolut friend, paid plan, price gifted, 18 years, metal ultra"
How to share your birthday on Revolut,"birthday revolut, birthday sharing, revolut sharing, friends share, disable toggle"
Receiving paid plan gifts,"gifts plan, revolut com, paid refund, annual billing, app privacy"
Sending paid plan gifts,"gift revolut, gift plan, paid plan, send maximum, friend year"
What happens once the gifted paid plan duration ends?,"switched premium, plan expires, gift duration, gifted plan, benefits depending"
Earning interest with Savings,"aer savings, rates different, payable gbp, accounts clearbank, explained instant"
Getting started with Savings,"revolut savings, resident gbp, minimum deposit, accounts clearbank, usd eligibility"
How to calculate interest on Savings accounts,"gbp savings, accounts revolut, balances calculated, accrual example, compounded daily"
How is interest calculated on tiered Instant Access Savings?,"tiered rate, savings balance, eur investec, convert aer, calculation example"
Rate decrease on my Instant Access Savings,"rate decreasing, gbp instant, clearbank savings, revolut plan, boe announced"
Why is my withdrawal pending?,"revolut account, withdrawal pending, investec bank, bank credit, allica"
