title,topic_1,label_1,topic_2,label_2,p1,p2,margin
Koinly crypto tax reports,17,Tax and national identification,3,Crypto account setup and security,0.152,0.151,0.001
Managing mobile plans and add-ons,26,eSIM data plan management,34,Mobile number transfers,0.238,0.234,0.003
Trading value limits,31,Stock investing fundamentals,0,Trading order types,0.256,0.247,0.008
Crypto rates and spread,47,Crypto trading fee tiers,3,Crypto account setup and security,0.398,0.386,0.012
What will happen to my Joint account?,28,Moving accounts to Revolut Bank,22,Joint account management,0.419,0.407,0.012
Close my Savings account,22,Joint account management,39,Instant Access Savings Interest Rates,0.237,0.226,0.012
Why was my top-up reverted?,38,Pending and delayed card payments,67,Dispute and refund status,0.231,0.216,0.014
OTC stocks,31,Stock investing fundamentals,0,Trading order types,0.279,0.265,0.015
What are the Stocks and Shares ISA fees?,49,Stocks and Shares ISA rules,32,Trading fees and allowances,0.36,0.344,0.015
How can I view my travel insurance policy documents?,25,Pet insurance policy management,1,Revolut travel insurance coverage,0.28,0.262,0.018
Will the account transition have any tax implications?,17,Tax and national identification,28,Moving accounts to Revolut Bank,0.334,0.315,0.019
Using your credit card or a personal loan to trade stocks,11,Exchange Traded Products,64,Income Sorter,0.257,0.237,0.021
How can my friend order a physical card?,13,Ordering a physical card,2,Referral purchase requirements,0.26,0.239,0.021
Open and manage additional currency accounts,42,Currency accounts and exchange rates,7,Adding money via bank transfer,0.202,0.181,0.021
Request a Revolut – Kids & Teens virtual card,10,Kids and teens account management,41,Virtual card usage and limits,0.354,0.331,0.022
Getting started with Joint Savings,22,Joint account management,39,Instant Access Savings Interest Rates,0.324,0.302,0.022
Can I make a local transfer in a different currency?,56,International transfer intermediary bank fees,7,Adding money via bank transfer,0.331,0.309,0.022
Commodities supported features,59,Spare change round ups,54,Revolut service providers and regulation,0.211,0.189,0.022
Card payment fees and limits,18,18_limits_withdrawal_atm_fees,12,Accepting payments with Revolut,0.175,0.151,0.024
Why should I accept payments with Revolut Pro?,48,Revolut Pro account features,12,Accepting payments with Revolut,0.425,0.401,0.024
Adding money to a Joint account,22,Joint account management,7,Adding money via bank transfer,0.248,0.223,0.025
What happens if my joint account balance goes negative?,38,Pending and delayed card payments,22,Joint account management,0.326,0.299,0.027
Where can I pay with Apple Pay or Google Pay?,60,60_deposit_card_pay_topup,33,Apple Pay and Card Security,0.207,0.178,0.029
How does sorting to investments work?,64,Income Sorter,32,Trading fees and allowances,0.192,0.163,0.029
Do I have an individual cryptocurrency wallet?,41,Virtual card usage and limits,35,Managing Click to Pay cards,0.263,0.234,0.029
Cover for cancelled and interrupted trips,1,Revolut travel insurance coverage,14,Cancel for any reason protection,0.368,0.338,0.03
Why is my ATM withdrawal pending?,38,Pending and delayed card payments,18,18_limits_withdrawal_atm_fees,0.21,0.179,0.031
Changing your paid plan billing date,37,Plan billing and payments,57,Downgrading paid plans,0.376,0.344,0.032
How does Revolut protect me against fraud?,41,Virtual card usage and limits,65,Account security and fraud protection,0.263,0.228,0.035
Getting started with Revolut,22,Joint account management,52,Compare Revolut paid plans,0.174,0.138,0.036
"How to report a suspicious call, email, link, or text",70,Reporting fraud and suspicious activity,62,Report fraudulent transactions,0.34,0.301,0.038
Does moving home affect Ultra trip and event coverage?,14,Cancel for any reason protection,1,Revolut travel insurance coverage,0.256,0.216,0.04
What features are supported on the Web App?,45,Contacting support and complaints,16,Download account statements,0.211,0.17,0.041
Order a paid plan card,13,Ordering a physical card,40,Gifting paid plans to friends,0.227,0.185,0.041
Can I transfer money to Ukraine?,7,Adding money via bank transfer,56,International transfer intermediary bank fees,0.263,0.223,0.041
Sending money from Revolut to a bank account,7,Adding money via bank transfer,56,International transfer intermediary bank fees,0.226,0.185,0.042
Revolut Pro invoices,12,Accepting payments with Revolut,10,Kids and teens account management,0.184,0.141,0.043
Get a Pockets statement,16,Download account statements,27,Group Pockets,0.356,0.313,0.043
Buy order block,68,Blocking and unblocking payments,0,Trading order types,0.39,0.346,0.044
Get started with Revolut X,5,Lost phone number login,42,Currency accounts and exchange rates,0.199,0.155,0.045
Forgotten passcode for a Kids & Teens account,10,Kids and teens account management,5,Lost phone number login,0.321,0.274,0.046
Public Figure Check - More Information,22,Joint account management,17,Tax and national identification,0.278,0.232,0.046
How does travel mode work?,1,Revolut travel insurance coverage,65,Account security and fraud protection,0.227,0.179,0.048
Setting up a virtual crypto card,41,Virtual card usage and limits,50,Crypto card payments and Ramp,0.174,0.124,0.05
Bonds fees,55,Bond investment basics,32,Trading fees and allowances,0.316,0.265,0.051
I want to cancel my transfer to a card,23,Canceling transfers and payment links,19,Transfer status and tracking,0.354,0.3,0.053
Personalise RevPoints,9,RevPoints earning and redemption,26,eSIM data plan management,0.299,0.243,0.057
Setting up Google Pay,35,Managing Click to Pay cards,60,60_deposit_card_pay_topup,0.251,0.192,0.058
Why is my withdrawal pending?,20,FSCS protection for accounts,19,Transfer status and tracking,0.226,0.167,0.059
Trading watchlist and price alerts,69,Account settings and notifications,0,Trading order types,0.213,0.154,0.059
What is a Special Purpose Acquisition Company (SPAC)?,11,Exchange Traded Products,31,Stock investing fundamentals,0.462,0.403,0.059
Change my name,5,Lost phone number login,35,Managing Click to Pay cards,0.195,0.135,0.06
Why your card top-ups may be blocked,7,Adding money via bank transfer,66,Card top-up restrictions,0.254,0.194,0.061
How to split a bill with another Revolut customer,12,Accepting payments with Revolut,23,Canceling transfers and payment links,0.34,0.279,0.061
Warranty on Revolut Terminals,12,Accepting payments with Revolut,30,Device software and security updates,0.226,0.166,0.061
Order a physical card for Referrals reward,13,Ordering a physical card,2,Referral purchase requirements,0.316,0.253,0.063
How do I update my trading account details?,17,Tax and national identification,5,Lost phone number login,0.273,0.21,0.063
How do I complain about my pet insurance?,25,Pet insurance policy management,45,Contacting support and complaints,0.361,0.298,0.064
Payment limits when using Apple Pay or Google Pay,12,Accepting payments with Revolut,60,60_deposit_card_pay_topup,0.219,0.154,0.065
Is physical card activation necessary before the deadline?,13,Ordering a physical card,2,Referral purchase requirements,0.283,0.215,0.067
Is my private information safe?,63,Personal data privacy and retention,54,Revolut service providers and regulation,0.301,0.233,0.067
How is the portfolio value calculated?,0,Trading order types,16,Download account statements,0.213,0.145,0.068
Setting a monthly spending limit,58,Card payment declined,12,Accepting payments with Revolut,0.347,0.279,0.068
How do I move money out of my Revolut Pro account?,48,Revolut Pro account features,7,Adding money via bank transfer,0.342,0.269,0.073
My card was stolen. What should I do?,44,Replace reactivate or fix cards,60,60_deposit_card_pay_topup,0.223,0.149,0.073
Cards and currencies supported for adding money,4,Supported currencies and cards,66,Card top-up restrictions,0.42,0.346,0.074
Can I receive large bank transfers into my Revolut account?,7,Adding money via bank transfer,19,Transfer status and tracking,0.224,0.151,0.074
Understanding our onboarding question about affiliations,22,Joint account management,17,Tax and national identification,0.285,0.21,0.075
Change my date of birth,63,Personal data privacy and retention,5,Lost phone number login,0.264,0.188,0.075
How to withdraw funds from my investment account,0,Trading order types,22,Joint account management,0.255,0.178,0.077
Where can I use my Revolut card?,4,Supported currencies and cards,58,Card payment declined,0.228,0.15,0.077
How do I log in to my Revolut Terminal?,5,Lost phone number login,48,Revolut Pro account features,0.295,0.216,0.079
The name on my card is incorrect,59,Spare change round ups,21,Identity and address verification,0.258,0.178,0.08
What are partner benefits?,6,Accessing plan partner subscriptions,57,Downgrading paid plans,0.244,0.162,0.081
How to withdraw a foreign currency,18,18_limits_withdrawal_atm_fees,42,Currency accounts and exchange rates,0.299,0.217,0.082
Promotional cashback,48,Revolut Pro account features,6,Accessing plan partner subscriptions,0.259,0.174,0.085
Kids & Teens Instant Access Savings,10,Kids and teens account management,39,Instant Access Savings Interest Rates,0.349,0.263,0.086
Why did my payment amount change?,38,Pending and delayed card payments,67,Dispute and refund status,0.316,0.23,0.086
What happens to my data while my account is being moved?,28,Moving accounts to Revolut Bank,63,Personal data privacy and retention,0.363,0.276,0.087
What if Revolut - Kids & Teens isn't available?,10,Kids and teens account management,4,Supported currencies and cards,0.501,0.414,0.087
Card deposit limits and fees,66,Card top-up restrictions,60,60_deposit_card_pay_topup,0.284,0.194,0.09
Who are Revolut Pet Insurance?,54,Revolut service providers and regulation,25,Pet insurance policy management,0.368,0.278,0.09
"My friend ordered a card, but I didn’t get the reward. Why?",13,Ordering a physical card,2,Referral purchase requirements,0.29,0.199,0.091
Will my account be at risk while it's being moved over?,28,Moving accounts to Revolut Bank,53,Account transition impact,0.291,0.2,0.091
When will I receive my Revolut Terminal?,13,Ordering a physical card,48,Revolut Pro account features,0.363,0.272,0.091
My Ramp transaction is completed but I didn't receive the funds,8,Crypto deposit troubleshooting,50,Crypto card payments and Ramp,0.327,0.235,0.092
My Ramp payment was completed but I didn’t receive the crypto. What should I do?,8,Crypto deposit troubleshooting,50,Crypto card payments and Ramp,0.365,0.273,0.092
Revolut X top-ups and withdrawals,50,Crypto card payments and Ramp,42,Currency accounts and exchange rates,0.267,0.171,0.097
Why did my recipient receive less money?,56,International transfer intermediary bank fees,19,Transfer status and tracking,0.365,0.268,0.097
Insufficient funds for scheduled transfer,19,Transfer status and tracking,27,Group Pockets,0.228,0.13,0.099
Can I choose between Mastercard and Visa?,13,Ordering a physical card,41,Virtual card usage and limits,0.447,0.348,0.099
Order a Revolut Pro card,48,Revolut Pro account features,13,Ordering a physical card,0.302,0.202,0.1
Add a new wallet to withdraw crypto,50,Crypto card payments and Ramp,8,Crypto deposit troubleshooting,0.428,0.328,0.1
Crypto delisting,3,Crypto account setup and security,38,Pending and delayed card payments,0.335,0.234,0.1
How are trips defined for travel analytics?,1,Revolut travel insurance coverage,14,Cancel for any reason protection,0.322,0.22,0.102
Do I have to pay for my trip using my Revolut account?,1,Revolut travel insurance coverage,14,Cancel for any reason protection,0.304,0.2,0.104
Will my fees and charges change now that Revolut is a bank?,53,Account transition impact,28,Moving accounts to Revolut Bank,0.442,0.337,0.105
Send or request money from other Revolut customers,7,Adding money via bank transfer,18,18_limits_withdrawal_atm_fees,0.23,0.125,0.105
